coin,symbol,price,date,mkt_cap_to_volume_ratio,price_change_7d,price_change_24h,liquidity_ratio,moving_average_mkt_cap_7d,std_dev_price_7d
Tenset,10SET,3.3,2022-03-16,94.56816544575723,51.66064267448294,0.44748152752535253,0.010574382989099898,2667166723.5535717,1188.7802297531514
Tenset,10SET,3.29,2022-03-17,123.6737009977425,51.66064267448294,-0.003030303030302939,0.008085793438155891,2667166723.5535717,1188.7802297531514
1inch,1INCH,1.5,2022-03-16,5.1150581203120815,51.66064267448294,-0.3829034947136797,0.19550119988450643,2667166723.5535717,1188.7802297531514
1inch,1INCH,1.49,2022-03-17,9.626687859434801,51.66064267448294,-0.00666666666666671,0.10387788765997359,2667166723.5535717,1188.7802297531514
Aave,AAVE,17.790167875,2022-03-16,6.595317646172854,51.66064267448294,0.44748152752535253,0.15162271988223072,2667166723.5535717,1188.7802297531514
Aave,AAVE,17.790167875,2022-03-17,4.940435365087132,51.66064267448294,0.07086728754365557,0.2024113111704202,2667166723.5535717,1188.7802297531514
Acala,ACA,1.1,2022-03-16,10.590126052572426,51.66064267448294,-0.3829034947136797,0.09442758235697224,832176317.0,68.46125275344754
Acala,ACA,1.08,2022-03-17,15.546193886986932,-0.6727272727272726,-0.018181818181818188,0.06432442611159365,810475080.0,68.67621578309128
Alchemy Pay,ACH,0.040564968565,2022-03-16,17.774342607853637,-0.9876702223206687,-0.3829034947136797,0.056260871192960325,792761763.7142857,68.99070376103808
Alchemy Pay,ACH,0.040004817834,2022-03-17,24.11736348751085,-0.973330121444,-0.013808730804325209,0.041463902159862905,728255201.2857143,69.13350691689344
Cardano,ADA,0.824161,2022-03-16,27.69683439583047,-0.44687181208053683,0.44748152752535253,0.03610520919858414,2667166723.5535717,69.19767097889068
Cardano,ADA,0.838396,2022-03-17,34.28160815435885,-0.9938999126891734,0.017272110667697183,0.029170160148185804,2667166723.5535717,55.38347794740634
Adshares,ADS,3.46,2022-03-16,67.67996856173191,-0.9764913711102052,0.44748152752535253,0.014775420574965028,2667166723.5535717,1.1508092868560356
Adshares,ADS,3.55,2022-03-17,71.83243943814546,2.227272727272727,0.026011560693641522,0.013921286925819844,2667166723.5535717,1.4895739512695825
Aergo,AERGO,0.216541,2022-03-16,8.709760929359739,-0.7994990740740741,-0.3829034947136797,0.11481371395959897,2667166723.5535717,1.5552503672004332
Aergo,AERGO,0.218479,2022-03-17,10.892831118977329,4.385903347858296,0.00894980627225328,0.09180349801419531,2667166723.5535717,1.5328859770147727
Ankr Reward-Bearing Staked ETH,AETHC,17.790167875,2022-03-16,89.26688939968996,51.66064267448294,0.44748152752535253,0.011202361891681119,2667166723.5535717,829.5848935957171
Ankr Reward-Bearing Staked ETH,AETHC,17.790167875,2022-03-17,266.05859022340087,51.66064267448294,0.026552661412590828,0.0008572754869391624,2667166723.5535717,1085.2803090174302
